country,lat,lng
Japan,41.772305,140.725233
Ireland,53.18861,-7.98667
Canada,43.70011,-79.4163
United States,38.34982,-81.63262
Malaysia,2.5,112.5
United States,31.325765,-89.291763
Malaysia,3.8152,103.3237
Greece,39,22
Guinea-Bissau,12.26667,-14.7
Malaysia,4.5841,101.0829
Nigeria,9.05785,7.49508
Canada,43.70011,-79.4163
United States,43.09639,-77.62255
United States,39.76,-98.5
United States,42.680588,-83.133821
India,22,79
United Kingdom,53.16667,-2.58333
United States,38.02931,-78.47668
Canada,43.70278,-79.638748
United States,38.903556,-77.035372
Singapore,1.36667,103.8
United States,34.22573,-77.94471
Germany,53.57532,10.01534
Belgium,50.85045,4.34878
United Kingdom,53.38297,-1.4659
Malaysia,3.8152,103.3237
United Kingdom,51.50853,-0.12574
Malaysia,2.91667,101.7
United States,38.903538,-77.035403
United States,32.71533,-117.15726
United Kingdom,51.50853,-0.12574
Malaysia,2.5,112.5
India,15.33333,74.08333
United States,40.71427,-74.00597
South Africa,-34.0211,22.8055
United States,34.73037,-86.5861
United States,39.73915,-104.9847
Canada,51.05011,-114.08529
South Africa,-26.20227,28.04363
Malaysia,2.5,112.5
United Kingdom,51.50853,-0.12574
Malaysia,3.1412,101.68653
United Kingdom,52.538687,-2.066496
United States,40.7475,-74.00306
Netherlands,51.44083,5.47778
Malaysia,3.8152,103.3237
Malaysia,3.8152,103.3237
United Kingdom,54.75844,-2.69531
United Kingdom,53.36797,-1.84536
United States,38.903556,-77.035372
United Kingdom,54.77676,-1.57566
United States,41.78586,-88.14729
United States,41.4995,-81.69541
Canada,43.25011,-79.84963
Canada,44.00011,-79.46632
United Kingdom,53.48095,-2.23743
Canada,43.255518,-79.873199
India,22,79
Italy,43.77925,11.24626
Malaysia,5.8402,118.1179
United States,33.749,-84.38798
United States,33.749,-84.38798
Indonesia,-1.4774,103.4057
Belgium,51.118283,4.372969
United States,31.78224,-81.63698
United States,33.849503,-84.380774
Malaysia,3.04384,101.58062
Malaysia,3.5,102.75
United States,38.89511,-77.03637
United Kingdom,51.50853,-0.12574
France,48.85341,2.3488
India,19.176915,72.869499
Slovenia,46.56885,15.88916
Sweden,59.33258,18.0649
United States,35.79154,-78.78112
United States,33.52066,-86.80249
Japan,35.7788,139.79509
Guernsey,49.43331,-2.35622
Australia,-37.82289,147.61041
United States,29.95465,-90.07507
United States,44.076968,-93.210639
United States,28.485832,-81.595516
Malaysia,3.03333,101.45
United States,36.84681,-76.28522
United Kingdom,51.50853,-0.12574
Philippines,14.548869,121.055319
India,12.97194,77.59369
United States,39.76,-98.5
United Kingdom,51.50853,-0.12574
Canada,43.25011,-79.84963
Qatar,25.27932,51.52245
Turkey,41.01384,28.94966
Canada,49.24966,-123.11934
Turkey,41.01384,28.94966
United States,38.89511,-77.03637
Canada,43.70011,-79.4163
Belgium,50.85045,4.34878
United Kingdom,54.58333,-5.93333
United States,35.95569,-80.00532
United Kingdom,56.11903,-3.93682
United States,38.903631,-77.036012
Canada,43.4668,-80.51639
United Kingdom,51.50853,-0.12574
Canada,49.08297,-122.58589
Canada,49.016248,-57.602509
United States,41.85003,-87.65005
United States,41.24255,-82.61573
Libya,32.11486,20.06859
United Kingdom,54.58333,-5.93333
India,17.38405,78.45636
United Kingdom,53.38297,-1.4659
United Kingdom,50.82838,-0.13947
Thailand,13.75398,100.50144
Malaysia,5.33333,102
Malaysia,2.5,112.5
United Arab Emirates,25.0657,55.17128
Canada,43.54594,-80.25599
Malaysia,2.8136,101.50185
Germany,52.52437,13.41053
United States,39.73915,-104.9847
United States,64.13662,-145.83109
United States,31.325765,-89.291763
United Kingdom,52.9536,-1.15047
Belgium,50.85045,4.34878
United Kingdom,57.41667,-3.25
India,9.446191,76.541146
United States,34.73037,-86.5861
Australia,-27.46794,153.02809
United States,40.48498,-106.83172
United States,38.89511,-77.03637
United Kingdom,51.50853,-0.12574
United Kingdom,51.48,-3.18
United States,40.71427,-74.00597
Malaysia,3.8152,103.3237
United States,38.89511,-77.03637
United States,28.75054,-82.5001
Guinea-Bissau,12.26667,-14.7
Chile,-33.45694,-70.64827
Ukraine,49.784942,24.059767
Oman,21,57
United Kingdom,53.48095,-2.23743
Greece,37.97945,23.71622
United Kingdom,51.50853,-0.12574
Turkey,37.774733,27.270835
Japan,35.66404,139.69821
Canada,43.70011,-79.4163
Japan,35.6895,139.69171
United States,33.83585,-118.34063
Japan,27.10093,142.21862
Japan,35.6895,139.69171
Japan,35.6895,139.69171
Japan,35.68536,139.75309
Mexico,30,-115
United States,29.603579,-98.529817
United States,30.26715,-97.74306
Japan,35.6895,139.69171
United States,42.35843,-71.05977
Canada,43.255518,-79.873199
United States,30.69436,-88.04305
United States,42.50648,-71.07283
United States,33.35283,-111.78903
United States,39.15817,-75.52437
United States,38.89511,-77.03637
Greece,37.97945,23.71622
Hong Kong,22.28552,114.15769
