country,lat,lng
Nigeria,9.05785,7.49508
Guam,13.58283,144.83534
Brazil,-23.5475,-46.63611
Spain,40.4165,-3.70256
United Kingdom,56,-4
Nigeria,10,8
India,22,79
Nigeria,6.45407,3.39467
United Kingdom,55.78333,-2
Belgium,50.85045,4.34878
United Kingdom,51.50853,-0.12574
United States,39.76,-98.5
Australia,-33.86785,151.20732
Guernsey,49.43331,-2.35622
Nigeria,6.45407,3.39467
Iran,36.59133,49.72082
United States,44.02163,-92.4699
Guernsey,49.43331,-2.35622
Taiwan,24.99368,121.29696
United Kingdom,51.50853,-0.12574
Sweden,62,15
India,28.97155,77.71934
India,28.65381,77.22897
United Kingdom,56,-4
South Korea,34.98951,127.39551
Egypt,27,30
Pakistan,24.9056,67.0822
Ireland,52.26889,-8.50194
Russian Federation,55.75222,37.61556
India,28.65381,77.22897
United States,32.73569,-97.10807
India,19.07283,72.88261
United Kingdom,51.50853,-0.12574
Ukraine,46.47747,30.73262
Zimbabwe,-19.45,29.81667
India,12.97194,77.59369
Pakistan,30,70
India,12.97194,77.59369
India,28.42202,77.10453
Ukraine,50.45466,30.5238
Guernsey,49.43331,-2.35622
Pakistan,31.54972,74.34361
Malawi,-13.5,34
India,22,79
India,28.65381,77.22897
United Kingdom,53.7446,-0.33525
United States,34.35815,-86.2947
United Kingdom,51.50853,-0.12574
Greece,37.97945,23.71622
Denmark,55.67594,12.56553
United States,32.71533,-117.15726
Turkey,41.01384,28.94966
Ethiopia,9.02497,38.74689
India,22,79
Uruguay,-33.83333,-55.91667
Australia,-25,135
United Kingdom,51.50853,-0.12574
United States,38.88894,-86.53944
India,28.42202,77.10453
India,19.07283,72.88261
India,19.07283,72.88261
United Kingdom,51.86568,-2.2431
United Kingdom,51.50853,-0.12574
United Kingdom,54.75844,-2.69531
Spain,29.01,-13.641
New Zealand,-40.05548,175.77936
United Kingdom,51.50853,-0.12574
Mongolia,47.90771,106.88324
United Kingdom,51.68195,-4.16191
India,17.38405,78.45636
United Kingdom,51.50853,-0.12574
Australia,-37.814,144.96332
Nigeria,10,8
United Kingdom,51.45523,-2.59665
India,18.51957,73.85535
United Kingdom,54.96209,-1.60168
New Zealand,-36.86667,174.76667
United Kingdom,51.63033,0.00051
United Kingdom,51.50853,-0.12574
India,28.65381,77.22897
Canada,60.10867,-113.64258
Namibia,-26.66667,16.26667
United Kingdom,51.34194,1.34611
India,22,79
Australia,-37.814,144.96332
India,18.51957,73.85535
United States,38.89511,-77.03637
United States,35.75035,-86.25027
Russian Federation,55.75222,37.61556
United Kingdom,55.95206,-3.19648
United Kingdom,51.50853,-0.12574
Germany,50.11552,8.68417
United Kingdom,56,-4
United States,43.18311,-78.64253
United States,41.85003,-87.65005
United Arab Emirates,25.06765,55.30557
New Zealand,-40.05548,175.77936
Guernsey,49.43331,-2.35622
United Kingdom,51.16667,0.66667
Australia,-25,135
United States,38.21586,-76.52906
Russian Federation,60,100
Pakistan,24.9056,67.0822
United Kingdom,51.5551,-0.1084
United Arab Emirates,25.06765,55.30557
United Kingdom,53.1,0.33333
United Kingdom,51.50853,-0.12574
Spain,40.4165,-3.70256
