country,pos,neg,ntrl,score
Dominican Republic,8.75644197951266,0.1152163418356929,1.036947076521236,9.90860539786959
Antarctica,8.498328204016735,0.2786337116071061,1.1145348464284244,9.891496762052267
South Korea,5.1810594268119035,0.0,4.345404680551918,9.526464107363822
Ecuador,3.5548004339408426,0.0,5.468923744524373,9.023724178465216
Indonesia,3.5565693497750783,0.36762615875078936,5.001425648121204,8.925621156647072
Mexico,3.5582444445189827,0.554531601743218,4.759729581629289,8.872505627891488
Australia,3.4511092374649244,0.6417852266162841,4.698352225039967,8.791246689121175
Venezuela,3.437972876880063,0.6366616438666783,4.71129616461342,8.78593068536016
India,3.4412321430806245,0.7671536624702029,4.537165946609486,8.745551752160313
Maldives,3.0453116112648204,0.30453116112648204,5.329295319713436,8.679138092104738
Argentina,3.237306699732968,0.6665043205332581,4.76074514666613,8.664556166932355
New Zealand,2.7525780714412025,0.10586838736312316,5.716892917608651,8.575339376412977
Taiwan,2.9634956019266303,0.6442381743318761,4.896210124922259,8.503943901180765
Colombia,3.1101111262212116,0.9246276321198196,4.455024045668222,8.489762804009253
Hong Kong,2.737241383795455,0.4976802515991737,5.175874616631407,8.410796252026035
