country,lat,lng
United States,30.843279,-87.162616
Ireland,51.506415,-0.127201
United States,27.338878,-82.539625
United States,41.686309,-92.065486
United States,31.46273,-99.333027
United States,32.715689,-117.16172
United States,44.603423,-110.638532
Canada,50.066516,-85.829237
Turkey,40.896461,29.371326
Bulgaria,42.697157,23.324343
Spain,38.906118,1.418898
United States,30.553097,-91.039673
Ireland,53.836966,-2.618706
Italy,41.127717,16.871646
Ireland,52.325109,-3.799972
United States,32.1568,-81.886927
United States,37.527226,-85.287616
Portugal,41.129129,-8.613685
Ireland,51.506415,-0.127201
Thailand,15.130545,101.017826
United States,32.766502,-86.840309
United States,41.786604,-70.953208
United States,41.884244,-87.632444
Turkey,40.896461,29.371326
United States,38.833427,-104.821805
Germany,47.760469,11.557455
United States,40.580711,-74.152684
United Arab Emirates,25.063367,55.30505
Mexico,18.972691,-99.140096
Ireland,51.506415,-0.127201
United States,37.355737,-121.954987
United States,34.053485,-118.245313
Ireland,52.325109,-3.799972
Dominican Republic,19.453662,-70.707429
United States,36.846816,-76.28506
India,18.980452,72.821467
United States,43.20214,-75.585874
United States,40.714545,-74.007112
United States,34.15946,-118.307832
United States,37.625906,-109.804697
United States,44.982879,-109.538446
Austria,48.182973,16.39182
United States,40.138782,-74.676905
British Sovereign Base Areas,35.020216,33.791405
Dominican Republic,18.583608,-70.833822
United States,40.714545,-74.007112
United States,34.127169,-117.334771
Poland,54.470347,17.02789
Ireland,52.904657,-2.486887
Ukraine,49.841623,24.032709
Germany,50.112076,8.683403
Netherlands,52.373085,4.893276
United States,31.46273,-99.333027
Ireland,53.842805,-0.432449
United States,40.714545,-74.007112
Russian Federation,54.921857,57.361312
United States,34.053485,-118.245313
Ireland,53.409766,-2.978472
Jamaica,17.970967,-76.788233
Finland,64.235697,25.015907
United States,29.953692,-90.077748
Ireland,51.540397,0.705133
United States,30.331469,-81.656213
Croatia,45.325817,18.989388
United States,38.890366,-77.031955
Dominican Republic,19.453662,-70.707429
Saudi Arabia,26.096568,43.993859
United States,39.138547,-86.548024
United States,33.448245,-112.075791
Bangladesh,23.713228,90.399569
United States,28.49308,-82.472287
Spain,41.122554,1.2649
United Arab Emirates,25.063367,55.30505
Ireland,56.688874,-4.042778
United Arab Emirates,25.063367,55.30505
Malaysia,5.362962,100.459398
United Arab Emirates,25.063367,55.30505
United States,47.564994,-122.627465
United States,30.966509,-91.851902
United States,37.355737,-121.954987
United States,40.714545,-74.007112
Argentina,-31.416187,-62.085956
United States,28.716997,-81.236322
Ireland,53.944574,-2.55073
Egypt,26.505416,29.876143
United States,41.65381,-83.536252
United States,40.714545,-74.007112
Russian Federation,62.467797,43.545941
United States,40.714545,-74.007112
Ireland,51.506415,-0.127201
Poland,50.06045,19.932412
United States,40.760305,-111.888214
Bangladesh,23.713228,90.399569
United States,40.714545,-74.007112
Turkey,40.896461,29.371326
Turkey,40.896461,29.371326
United States,38.99854,-105.547806
Canada,49.693825,-112.833736
Nepal,27.277507,87.777144
United States,42.358655,-71.056739
Argentina,-32.979857,-60.640863
Nepal,27.277507,87.777144
United States,28.49308,-82.472287
United States,40.714545,-74.007112
United States,45.511787,-122.675624
Mexico,25.670967,-100.309972
Australia,-33.869594,151.206953
United Arab Emirates,25.063367,55.30505
United States,39.952276,-75.162444
Turkey,40.896461,29.371326
United States,39.356397,-116.655393
Netherlands,52.245762,5.565216
France,43.175519,1.291813
United States,31.267703,-92.46536
United States,39.740009,-104.992297
Ukraine,50.450097,30.523397
United States,40.714545,-74.007112
United States,38.99854,-105.547806
Ireland,51.540397,0.705133
Ireland,53.008787,-2.228594
Slovenia,46.051259,14.503067
United States,42.358655,-71.056739
Mexico,20.790628,-105.488352
United States,40.714545,-74.007112
United States,33.329036,-111.789759
Slovenia,46.051259,14.503067
India,28.470166,77.060683
United States,44.641788,-89.736738
United States,32.960737,-96.732961
Cyprus,35.28039,33.601744
United States,40.714545,-74.007112
Ireland,54.662807,-5.669663
Venezuela,10.495368,-66.848877
United States,39.49593,-98.990005
Iran,32.567425,54.302216
United States,32.715689,-117.16172
United States,29.953692,-90.077748
Russian Federation,55.755773,37.617815
United States,47.862335,-122.141468
Germany,53.553336,9.992464
United States,39.49593,-98.990005
Ireland,53.836966,-2.618706
United States,44.862615,-85.73513
Ireland,53.185093,-8.146848
Moldova,47.202356,28.466093
United States,33.661276,-95.563552
Spain,38.913783,-6.357593
Kenya,-1.283517,36.823785
Australia,-25.578752,134.359553
United Arab Emirates,25.063367,55.30505
France,43.175519,1.291813
Taiwan,23.749037,120.971304
Taiwan,24.806179,120.968915
Taiwan,24.806179,120.968915
Canada,52.130489,-106.659255
United States,37.338575,-121.885565
Australia,-25.578752,134.359553
Ireland,51.500175,-0.417007
Australia,-25.578752,134.359553
Australia,-25.578752,134.359553
United States,56.116247,-131.535977
Australia,-25.578752,134.359553
Argentina,-31.416187,-62.085956
United States,39.49593,-98.990005
France,46.621773,2.452032
United States,40.714545,-74.007112
United States,25.774806,-80.197726
Ireland,53.409766,-2.978472
Italy,43.529151,12.16203
Russian Federation,55.076814,98.859058
United Kingdom,51.508515,-0.125487
Ireland,51.506415,-0.127201
United States,40.714545,-74.007112
United States,46.070376,-118.342376
United States,39.49593,-98.990005
United Arab Emirates,25.063367,55.30505
United States,34.053485,-118.245313
Ireland,52.086975,-4.654603
Netherlands,52.245762,5.565216
Australia,-25.578752,134.359553
Russian Federation,54.921857,57.361312
Lebanon,34.317332,35.934704
United States,32.960737,-96.732961
United States,40.714545,-74.007112
United States,25.774806,-80.197726
United States,40.714545,-74.007112
Turkey,40.896461,29.371326
United States,41.573499,-72.738304
United Arab Emirates,25.063367,55.30505
United States,40.714545,-74.007112
Ireland,51.506415,-0.127201
Netherlands,52.373085,4.893276
United States,41.884244,-87.632444
United Arab Emirates,25.063367,55.30505
United States,42.358655,-71.056739
United States,38.744257,-82.993211
United States,33.448245,-112.075791
Ireland,53.749508,-2.99157
Egypt,26.505416,29.876143
United States,34.127169,-117.334771
United States,32.715689,-117.16172
United States,39.49593,-98.990005
Mexico,20.687593,-103.351102
United States,40.714545,-74.007112
Russian Federation,51.531528,46.03582
Morocco,29.129956,-8.870917
United States,39.49593,-98.990005
Australia,-35.595594,145.319808
United States,40.714545,-74.007112
Uganda,0.325372,32.586962
United States,41.884244,-87.632444
Canada,62.536655,-96.39241
Canada,43.648557,-79.385361
United States,38.579324,-121.490899
United States,39.49593,-98.990005
Canada,49.105209,-122.831347
United States,45.511787,-122.675624
Netherlands,52.245762,5.565216
United States,37.544874,-97.270118
Malaysia,3.104769,101.691994
United States,28.552727,-81.438865
United Arab Emirates,25.063367,55.30505
Australia,-34.926094,138.599888
United States,40.714545,-74.007112
South Africa,-29.002117,25.080415
United States,40.714545,-74.007112
United States,44.624579,-93.768215
United States,39.49593,-98.990005
Australia,-34.926094,138.599888
Spain,40.387689,-3.557382
United States,33.975418,-118.034065
United States,40.714545,-74.007112
France,45.361729,3.128769
United States,40.714545,-74.007112
Canada,46.137337,-60.195568
Dominican Republic,18.897321,-70.499999
United States,40.413052,-82.711212
United Arab Emirates,25.063367,55.30505
Turkey,40.896461,29.371326
Australia,-27.543774,151.910603
Turkey,40.896461,29.371326
Jamaica,18.157782,-77.311223
Turkey,40.896461,29.371326
Turkey,40.896461,29.371326
United States,19.598514,-155.518552
United States,33.520673,-86.811752
United States,25.774806,-80.197726
Turkey,40.896461,29.371326
Canada,62.536655,-96.39241
Turkey,40.896461,29.371326
Russian Federation,55.076814,98.859058
Russian Federation,55.076814,98.859058
Australia,-33.869594,151.206953
United States,28.49308,-82.472287
Turkey,40.896461,29.371326
Mexico,18.974631,-99.23203
Turkey,40.896461,29.371326
Turkey,40.896461,29.371326
India,29.685866,76.989312
United States,44.982879,-109.538446
United States,43.419179,-83.946665
United States,33.903862,-80.893749
Slovenia,46.051259,14.503067
United Arab Emirates,25.063367,55.30505
Switzerland,46.800206,8.229188
United Arab Emirates,25.063367,55.30505
Portugal,38.643258,-9.236322
Egypt,30.049973,31.248598
United Arab Emirates,25.063367,55.30505
United States,39.49593,-98.990005
Ireland,53.794486,-1.546576
United States,40.714545,-74.007112
United States,40.008329,-74.836149
United States,35.159508,-98.442509
Azerbaijan,40.359953,47.651476
Ireland,50.909918,-1.407328
United States,44.943816,-93.093311
United Arab Emirates,25.269516,55.308823
South Africa,-26.204915,28.040013
Philippines,15.948175,121.42322
Argentina,-31.416187,-62.085956
Italy,41.127717,16.871646
United Arab Emirates,25.063367,55.30505
Canada,43.648557,-79.385361
Ireland,53.479589,-2.248735
Ireland,51.13395,-0.120904
United States,46.875905,-96.781758
Ireland,51.500175,-0.417007
United States,39.49593,-98.990005
United States,39.49593,-98.990005
Thailand,15.130545,101.017826
United States,35.068355,-106.761978
Puerto Rico,18.225063,-66.478906
United States,40.714545,-74.007112
United States,45.336506,-122.592772
United States,26.430435,-81.810543
Spain,41.654187,-4.732136
United States,40.714545,-74.007112
Egypt,26.505416,29.876143
South Korea,36.451153,127.86114
Botswana,-24.655264,25.919055
United States,37.777114,-122.419631
United Arab Emirates,25.063367,55.30505
China,30.000508,93.976175
United States,38.401738,-122.825247
Argentina,-31.416187,-62.085956
United States,30.267589,-97.742982
Finland,64.235697,25.015907
United States,32.778144,-96.795394
Canada,49.207068,-122.908431
Ireland,52.598927,-1.467146
Cambodia,13.361185,103.861048
United States,40.864771,-73.638335
Canada,42.986885,-81.246203
United Arab Emirates,25.063367,55.30505
South Africa,-29.002117,25.080415
United States,34.232938,-102.410197
Argentina,-31.416187,-62.085956
Canada,50.066516,-85.829237
Trinidad and Tobago,10.709329,-61.54747
United States,40.714545,-74.007112
Russian Federation,45.023877,38.970157
Canada,48.476108,-81.328902
Spain,41.38558,2.16874
Ireland,53.479589,-2.248735
United States,40.714545,-74.007112
United Arab Emirates,25.063367,55.30505
United States,31.46273,-99.333027
France,43.831417,5.784261
Egypt,31.127932,33.80426
Italy,45.438108,10.991498
United States,26.430435,-81.810543
Japan,35.68321,139.808949
Netherlands,52.245762,5.565216
United States,39.952276,-75.162444
India,12.966962,77.587275
United States,40.015733,-105.279237
Philippines,13.970598,121.683579
United States,34.127169,-117.334771
United States,37.777114,-122.419631
Malta,35.890554,14.439529
United States,34.292963,-111.664695
United States,39.49593,-98.990005
United States,40.714545,-74.007112
United States,38.642414,-80.61361
United Arab Emirates,25.063367,55.30505
Dominican Republic,19.380176,-71.322973
United States,39.49593,-98.990005
Indonesia,-0.209379,114.004564
United States,39.49593,-98.990005
United States,39.49593,-98.990005
France,49.245705,0.132762
United States,39.49593,-98.990005
United Arab Emirates,25.063367,55.30505
United States,39.49593,-98.990005
Russian Federation,55.076814,98.859058
Dominican Republic,18.808366,-69.785174
United States,40.813616,-96.707737
Pakistan,30.497244,70.452029
United States,39.49593,-98.990005
Philippines,8.163215,124.787438
United Arab Emirates,25.063367,55.30505
United Arab Emirates,25.063367,55.30505
Canada,50.066516,-85.829237
Argentina,-34.608507,-58.373488
Dominican Republic,18.471875,-69.891417
Italy,42.418475,12.235162
Ireland,55.954148,-3.202763
United States,42.632504,-70.781127
Canada,46.808728,-71.21383
United Arab Emirates,25.063367,55.30505
Colombia,3.434003,-76.526464
South Africa,-33.919089,18.421985
United States,39.49593,-98.990005
United States,34.127169,-117.334771
Philippines,8.163215,124.787438
United States,37.355737,-121.954987
United States,39.263428,-81.558296
United States,40.864771,-73.638335
United States,40.714545,-74.007112
Ireland,51.506415,-0.127201
Egypt,30.049973,31.248598
Russian Federation,55.076814,98.859058
United States,39.49593,-98.990005
United States,35.149755,-90.049244
United States,39.740009,-104.992297
Philippines,15.948175,121.42322
United States,39.49593,-98.990005
United States,35.842997,-86.343047
United States,41.207644,-73.997684
United States,40.714545,-74.007112
United States,40.714545,-74.007112
United States,40.714545,-74.007112
Ireland,54.61168,-6.685846
Dominican Republic,18.413087,-70.108073
United Arab Emirates,25.063367,55.30505
United States,33.661276,-95.563552
United States,40.714545,-74.007112
United Arab Emirates,25.063367,55.30505
Austria,48.202536,16.368796
Canada,45.5124,-73.554675
Mexico,28.691328,-106.099542
United States,40.714545,-74.007112
Canada,49.260376,-123.113355
United States,48.453239,-96.868104
United States,40.714545,-74.007112
Finland,64.235697,25.015907
United States,39.49593,-98.990005
United States,39.49593,-98.990005
Indonesia,-6.338255,107.11975
Indonesia,-0.209379,114.004564
United States,41.884244,-87.632444
United States,40.138782,-74.676905
Canada,62.536655,-96.39241
Null,59.917308,23.05519
Kenya,0.606025,37.816989
United States,40.714545,-74.007112
Ukraine,50.450097,30.523397
United States,31.568483,-93.480665
Portugal,41.113899,-8.608537
Canada,43.648557,-79.385361
Saudi Arabia,24.124126,44.550509
Russian Federation,55.076814,98.859058
India,12.966962,77.587275
Mexico,16.880697,-95.03316
Ireland,53.185093,-8.146848
United Arab Emirates,25.063367,55.30505
United States,35.337944,-80.578638
United States,35.995416,-78.896435
Russian Federation,54.921857,57.361312
Ireland,52.994795,-0.410827
United States,38.579324,-121.490899
United States,37.355737,-121.954987
Democratic Republic of the Congo,-2.044177,17.750683
United Arab Emirates,25.063367,55.30505
Ireland,51.506415,-0.127201
Finland,64.235697,25.015907
United States,34.960535,-81.016028
United Arab Emirates,25.063367,55.30505
